,Brand,Cooling_Capacity,Star_Rating,Annual_power_usage,Room_Size,Warranty,Price,Ratings,no_of_rating,Reviews
0,IFB,1 Ton,3 Star,655.74,90,,"29,990",3.9,"1,637",133
1,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
2,Godrej,1.5 Ton,3 Star,966.34,111 - 150,5,"32,490",4,"11,016",812
3,Godrej,1.4 Ton,3 Star,905.88,111 - 150,5,"29,990",4,"11,016",812
4,MarQ,1.5 Ton,3 Star,952.69,111 - 150,1,"28,990",4.1,"15,763","1,658"
5,MarQ,1.5 Ton,5 Star,767.34,111 - 150,1,"31,990",4.1,"15,763","1,658"
6,Daikin,1.5 Ton,3 Star,966.47,111 - 150,1,"36,990",4.1,"14,418","1,094"
7,IFB,1.5 Ton,5 Star,706.85,111 - 150,1,"39,990",4,"7,020",614
8,Godrej,1 Ton,3 Star,694.03,90,,"29,990",4,"4,025",318
9,Lloyd,1.5 Ton,3 Star,941.66,111 - 150,1,"34,490",4.1,"11,020","1,437"
10,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
11,IFB,1.5 Ton,3 Star,991.28,111 - 150,1,"34,990",4,"7,020",614
12,MarQ,1 Ton,3 Star,675.18,90,,"26,490",4.1,"15,763","1,658"
13,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
14,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
15,LG,1.5 Ton,5 Star,744.99,111 - 150,1,"46,490",4,"4,635",374
16,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
17,IFB,2 Ton,3 Star,1248.28,151 - 200,1,"46,990",4,"7,020",614
18,ONIDA,1.5 Ton,3 Star,952.59,111 - 150,1,"29,990",4.1,"7,298",839
19,Lloyd,1 Ton,3 Star,698.48,90,,"30,990",4.1,"11,020","1,437"
20,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
21,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
22,Godrej,1.5 Ton,5 Star,728.37,111 - 150,5,"37,990",4,"11,016",812
23,MarQ,2 Ton,3 Star,1281.64,151 - 200,1,"36,990",4.1,"15,763","1,658"
24,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
25,Blue,1.5 Ton,3 Star,1026.46,111 - 150,1,"38,390",4,"5,266",456
26,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
27,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
28,Panasonic,2 Ton,3 Star,1215.59,151 - 200,1,"51,990",4.1,"24,837","2,508"
29,realme,1.5 Ton,3 Star,952.69,111 - 150,1,"29,990",4.1,"1,497",190
30,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
31,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
32,Lloyd,1.5 Ton,5 Star,715.07,111 - 150,1,"41,490",4.1,"8,803","1,193"
33,Voltas,1.5 Ton,3 Star,975.26,111 - 150,1,"34,490",4.2,"5,186",439
34,Godrej,1.5 Ton,4 Star,835.07,111 - 150,5,"34,490",4,"6,173",491
35,Voltas,2 Ton,3 Star,1207.93,151 - 200,1,"45,990",4,"16,528",852
36,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
37,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
38,ONIDA,1 Ton,3 Star,674.08,90,,"27,490",4.1,"7,298",839
39,Blue,1 Ton,3 Star,705.78,90,,"33,390",4.1,"15,366","1,512"
40,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
41,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
42,Daikin,1 Ton,5 Star,523.54,90,,"38,990",4.1,"14,418","1,094"
43,Voltas,1 Ton,3 Star,672.93,90,,"30,990",4.2,"24,926","2,037"
44,Daikin,1 Ton,3 Star,680.4,90,,"33,490",4.1,"14,418","1,094"
45,Haier,1 Ton,3 Star,688.52,90,,"29,990",4,"1,314",132
46,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
47,Panasonic,2 Ton,4 Star,1067.21,151 - 200,1,"53,990",4.1,"24,837","2,508"
48,Blue,0.8 Ton,3 Star,521.6,90,,"26,999",4.1,"15,366","1,512"
49,realme,1.5 Ton,5 Star,767.34,111 - 150,1,"32,999",4.1,"1,495",190
50,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
51,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
52,Voltas,1.5 Ton,5 Star,751.28,111 - 150,1,"40,990",4,"16,528",852
53,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
54,realme,1 Ton,3 Star,675.18,90,,"27,490",4.1,"1,495",190
55,Voltas,1 Ton,3 Star,682.59,90,,"30,990",3.8,224,19
56,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
57,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
58,CARRIER,1.5 Ton,5 Star,754.05,111 - 150,1,"42,990",4,"14,872","1,254"
59,SAMSUNG,1.5 Ton,3 Star,977.8,111 - 150,1,"41,600",4.1,"6,487",481
60,Lloyd,1 Ton,2 Star,735.4,90,,"28,990",,,
61,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
62,LG,1 Ton,5 Star,521.2,90,,"39,990",3.8,648,52
63,CARRIER,1.5 Ton,5 Star,754.05,111 - 150,1,"41,990",4.2,"3,544",352
64,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
65,Whirlpool,1.5 Ton,5 Star,701.52,111 - 150,1,"38,490",4.2,"7,018",761
66,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
67,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
68,Voltas,2 Ton,5 Star,959.19,151 - 200,1,"57,840",4.2,"24,926","2,037"
69,realme,1.5 Ton,5 Star,770.08,111 - 150,1,"65,999",4.2,"1,578",175
70,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
71,Panasonic,2 Ton,3 Star,1215.59,151 - 200,1,"51,990",4.1,"24,837","2,508"
72,Panasonic,1 Ton,4 Star,601.5,90,,"35,990",4.1,"24,837","2,508"
73,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
74,Panasonic,1.5 Ton,3 Star,1002.72,111 - 150,1,"35,490",4.1,"24,837","2,508"
75,Haier,1 Ton,5 Star,541.48,90,,"36,990",4,"1,314",132
76,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,869","1,254"
77,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
78,Voltas,1.5 Ton,3 Star,975.26,111 - 150,1,"35,990",4.2,"24,926","2,037"
79,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
80,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
81,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
82,Lloyd,1.5 Ton,3 Star,999.49,111 - 150,1,"32,990",4.1,"8,803","1,193"
83,Lloyd,2 Ton,5 Star,970.29,151 - 200,1,"52,990",4.1,"8,803","1,193"
84,Blue,1 Ton,5 Star,517.83,90,,"38,990",4.1,"15,366","1,512"
85,Godrej,2 Ton,5 Star,916.68,151 - 200,5,"50,990",3.9,"1,063",65
86,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
87,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
88,Panasonic,1.5 Ton,3 Star,972.89,111 - 150,1,"41,990",4.2,374,43
89,Hisense,1.5 Ton,5 Star,767.34,111 - 150,1,"35,990",4.1,"2,441",444
90,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
91,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
92,realme,1.5 Ton,5 Star,770.08,111 - 150,1,"65,999",4.2,"1,578",175
93,Haier,2 Ton,3 Star,1276.55,151 - 200,5,"49,990",4,"1,541",185
94,Godrej,1.5 Ton,4 Star,883.14,111 - 150,,"33,990",4,"6,173",491
95,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4,"2,464",262
96,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
97,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
98,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
99,LG,1.5 Ton,5 Star,685.26,111 - 150,1,"42,990",4.1,"40,617","3,635"
100,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
101,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
102,Hitachi,1.8 Ton,3 Star,,1251,1,"48,999",4,"2,528",215
103,Blue,1.5 Ton,3 Star,1006.84,111 - 150,1,"36,490",4.1,"15,366","1,512"
104,TOSHIBA,1.5 Ton,3 Star,987.7,111 - 150,1,"41,500",3.8,28,
105,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"43,990",4.1,"24,837","2,508"
106,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
107,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
108,Blue,2 Ton,5 Star,935.89,151 - 200,1,"57,120",,,
109,Panasonic,1.5 Ton,3 Star,952.59,111 - 150,1,"35,990",4.1,601,73
110,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
111,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
112,Godrej,1 Ton,3 Star,752.58,90,,"32,631",4,"4,025",318
113,CARRIER,1 Ton,5 Star,536.2,90,,"35,490",4,"14,872","1,254"
114,IFB,1 Ton,3 Star,655.74,90,,"30,990",3.9,"1,637",133
115,Lloyd,1.5 Ton,3 Star,1002.76,111 - 150,1,"34,880",4.1,"11,020","1,437"
116,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
117,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
118,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"51,990",4.1,601,73
119,Midea,1.5 Ton,3 Star,1088.39,111 - 150,1,"52,400",4.3,"8,138","1,174"
120,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
121,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
122,Whirlpool,1 Ton,5 Star,560.34,90,,"31,990",4.2,"22,104","2,843"
123,Blue,1.5 Ton,4 Star,850.74,111 - 150,1,"38,990",4.1,"15,366","1,512"
124,Hitachi,1.8 Ton,3 Star,,1251,1,"48,999",4,"2,528",215
125,CARRIER,1 Ton,5 Star,536.2,90,,"35,490",4,"14,872","1,254"
126,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
127,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
128,Admiral,1.5 Ton,3 Star,1011.43,111 - 150,3,"29,990",3.9,64,12
129,LG,1.5 Ton,5 Star,685.26,111 - 150,1,"42,990",4.1,"40,617","3,635"
130,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
131,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
132,MarQ,1.5 Ton,4 Star,832.59,111 - 150,1,"29,990",4.1,"15,763","1,658"
133,Haier,2 Ton,3 Star,1276.55,151 - 200,5,"52,990",4,"1,541",185
134,Voltas,1.5 Ton,5 Star,751.28,111 - 150,1,"40,990",4.2,"24,926","2,037"
135,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"43,990",4.1,"24,837","2,508"
136,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
137,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
138,Blue,2 Ton,5 Star,935.89,151 - 200,1,"57,120",,,
139,Godrej,1.5 Ton,5 Star,744.39,111 - 150,5,"38,990",4,"11,016",812
140,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
141,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
142,Panasonic,1.5 Ton,3 Star,952.59,111 - 150,1,"35,990",4.1,601,73
143,Hitachi,1.5 Ton,5 Star,758.52,111 - 150,1,"43,990",3.9,"3,590",325
144,Haier,2 Ton,3 Star,1276.55,151 - 200,5,"52,990",4,"1,541",185
145,Voltas,1.5 Ton,3 Star,975.26,111 - 150,1,"33,749",3.9,192,20
146,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
147,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
148,Blue,1.5 Ton,5 Star,1104.23,111 - 150,1,"35,800",4,120,
149,Mitsubishi,1.5 Ton,3 Star,951.43,111 - 150,1,"46,990",,,
150,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
151,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
152,Hitachi,1.5 Ton,3 Star,1012.62,111 - 150,1,"37,090",3.3,,
153,Haier,1.3 Ton,3 Star,804.22,111 - 150,1,"60,999",4,"1,541",185
154,Godrej,1.5 Ton,3 Star,980.37,111 - 150,1,"31,990",3.8,132,10
155,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"44,990",3.9,"4,186",284
156,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
157,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
158,Voltas,1 Ton,3 Star,672.93,90,,"30,390",3.9,237,18
159,Haier,1.5 Ton,3 Star,925.24,111 - 150,1,"38,300",4,"1,314",132
160,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
161,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
162,MITASHI,1 Ton,3 Star,765.59,90,,"29,500",4.1,104,10
163,Blue,1.5 Ton,4 Star,840.75,111 - 150,1,"40,990",4,"5,266",456
164,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"55,990",4.1,450,38
165,Voltas,1.5 Ton,5 Star,759.07,111 - 150,1,"41,449",4.2,"1,679",146
166,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
167,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
168,LG,2 Ton,3 Star,1232.78,151 - 200,1,"54,990",4.1,"40,617","3,635"
169,Godrej,1.5 Ton,3 Star,980.37,111 - 150,,"33,999",4,"4,025",318
170,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
171,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
172,realme,1 Ton,3 Star,663.61,90,,"27,490",4.2,"1,578",175
173,ONIDA,1 Ton,3 Star,818.81,90,,"44,990",4.1,"7,298",839
174,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"48,990",4.1,"2,440",206
175,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"80,990",4.2,740,61
176,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
177,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
178,SAMSUNG,1.5 Ton,5 Star,832.8,111 - 150,1,"42,990",4.2,503,59
179,IFB,1 Ton,3 Star,655.6,90,,"33,000",4,"7,020",614
180,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
181,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
182,Hisense,1 Ton,3 Star,674.08,90,,"28,990",4.1,"2,441",444
183,Panasonic,2.2 Ton,4 Star,1351.04,,,"70,860",4.2,374,43
184,Panasonic,1 Ton,5 Star,531.41,90,,"40,990",4.1,473,56
185,Midea,1.5 Ton,5 Star,754.05,111 - 150,1,"37,990",4,765,100
186,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
187,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
188,Blue,1 Ton,3 Star,704.42,90,,"35,000",4.1,"4,631",388
189,Whirlpool,1.5 Ton,3 Star,1029.65,111 - 150,1,"39,247",4.1,"2,194",307
190,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
191,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
192,Haier,1.3 Ton,3 Star,804.22,111 - 150,1,"60,999",4,"1,541",185
193,Godrej,1.5 Ton,3 Star,980.37,111 - 150,1,"31,990",3.8,132,10
194,Lloyd,1.5 Ton,5 Star,759.37,111 - 150,1,"51,000",3.8,202,20
195,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"44,990",3.9,"4,186",284
196,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
197,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
198,Voltas,1 Ton,3 Star,672.93,90,,"30,390",3.9,237,18
199,Haier,1.5 Ton,3 Star,925.24,111 - 150,1,"38,300",4,"1,314",132
200,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
201,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
202,MITASHI,1 Ton,3 Star,765.59,90,,"29,500",4.1,104,10
203,Midea,1 Ton,3 Star,704.46,90,,"59,999",4,765,100
204,Blue,1.5 Ton,4 Star,840.75,111 - 150,1,"40,990",4,"5,266",456
205,Godrej,1.5 Ton,3 Star,1046.29,111 - 150,1,"32,490",4.1,"2,762",259
206,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
207,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
208,Lloyd,1.5 Ton,5 Star,,1370,1,"42,999",4.2,511,57
209,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"55,990",4.1,450,38
210,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
211,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
212,SAMSUNG,1 Ton,3 Star,624.48,90,,"48,989",4.1,"6,491",481
213,IFB,1 Ton,2 Star,773.19,90,,"32,490",3.9,"1,637",133
